Date,District,Block,Panchayat,Mouza,Type,Source,Hamlet,Lab,Code,Arsenic,TDS,Salinity,Fluoride,Iron,TC,FC,PH,Hardness 
5/7/2010,Murshidabad ,SUTI-I,NURPUR,Naya Bahadurpur ,PUBLIC,TW,Ramakantopur,PHED,91,0.1236,,,,3.21,0,0,7.36,230 
5/7/2010,Murshidabad ,SUTI-I,NURPUR,Naya Bahadurpur ,PUBLIC,TW,Kantantala,PHED,89,0.1237,,,,0.1237,4,0,7.28,270 
3/7/2010,Murshidabad ,RANINAGAR-II,KALINAGAR-II,Ramngar Dayenkanun ,PUBLIC,TW,K.M.Para,Rural National Club,185,0,,,,0.0924,17,0,7.31,604 
3/7/2010,Murshidabad ,RANINAGAR-II,KALINAGAR-II,Ramngar Dayenkanun ,PUBLIC,TW,K.M.Para,Rural National Club,183,0.0136,,,,0.2709,2,0,7.41,500 
3/7/2010,Murshidabad ,RANINAGAR-II,KALINAGAR-II,Ramngar Dayenkanun ,PUBLIC,TW,K.M.Para,Rural National Club,190,0.0065,,,,0.157,70,0,7.23,660 
3/7/2010,Murshidabad ,RANINAGAR-II,KALINAGAR-II,Ramngar Dayenkanun ,PUBLIC,TW,K.M.Para,Rural National Club,182,0.0154,,,,0.1144,0,0,7.3,516 
3/7/2010,Murshidabad ,RANINAGAR-II,KALINAGAR-II,Ramngar Dayenkanun ,PUBLIC,TW,K.M.Para,Rural National Club,184,0.0101,,,,0.7661,2,0,7.37,556 
3/7/2010,Murshidabad ,RANINAGAR-II,KALINAGAR-II,Ramngar Dayenkanun ,PUBLIC,TW,K.M.Para,Rural National Club,187,0,,,,0.0955,0,0,7.51,560 
3/7/2010,Murshidabad ,RANINAGAR-II,KALINAGAR-II,Ramngar Dayenkanun ,PUBLIC,TW,K.M.Para,Rural National Club,189,0,,,,0.2521,2,2,7.19,560 
3/7/2010,Murshidabad ,RANINAGAR-II,KALINAGAR-II,Ramngar Dayenkanun ,PUBLIC,TW,K.M.Para,Rural National Club,191,0.0167,,,,0.182,2,0,7.35,484 
3/7/2010,Murshidabad ,RANINAGAR-II,KALINAGAR-II,Ramngar Dayenkanun ,PUBLIC,TW,K.M.Para,Rural National Club,186,0,,,,0.0527,2,0,7.41,580 
3/7/2010,Murshidabad ,RANINAGAR-II,KALINAGAR-II,Ramngar Dayenkanun ,PUBLIC,TW,K.M.Para,Rural National Club,188,0.0077,,,,0.0632,0,0,7.38,520 
2/7/2010,Murshidabad ,SAGARDIGHI,BOKHARA-I,Bokhara,PUBLIC,TW,Immnager,PHED,90,0.0107,,,,1.7,0,0,7.35,320 
2/7/2010,Murshidabad ,SAGARDIGHI,BOKHARA-I,Bokhara,PUBLIC,TW,Immnager,PHED,91,0.0087,,,,0.76,0,0,7.46,300 
2/7/2010,Murshidabad ,SAGARDIGHI,BOKHARA-I,Bokhara,PUBLIC,TW,Immnager,PHED,92,0.0052,,,,2.49,0,0,7.46,280 
2/7/2010,Murshidabad ,SAGARDIGHI,BOKHARA-I,Bokhara,PUBLIC,TW,Immnager,PHED,96,0.0034,,,,1.02,9,0,7.39,280 
2/7/2010,Murshidabad ,SAGARDIGHI,BOKHARA-I,Bokhara,PUBLIC,TW,Immnager,PHED,95,0.0018,,,,2.23,0,0,7.59,360 
2/7/2010,Murshidabad ,SAGARDIGHI,BOKHARA-I,Bokhara,PUBLIC,TW,Immnager,PHED,94,0.0017,,,,3.26,7,0,7.61,340 
2/7/2010,Murshidabad ,SAGARDIGHI,BOKHARA-I,Bokhara,PUBLIC,TW,Jalbhada,PHED,98,0.0027,,,,1.72,0,0,7.27,420 
2/7/2010,Murshidabad ,SAGARDIGHI,BOKHARA-I,Bokhara,PUBLIC,TW,Jalbhada,PHED,99,0.0033,,,,0.62,9,0,7.54,340 
2/7/2010,Murshidabad ,SAGARDIGHI,BOKHARA-I,Bokhara,PUBLIC,TW,Immnager,PHED,93,0.0021,,,,1.85,2,0,7.54,340 
2/7/2010,Murshidabad ,SAGARDIGHI,BOKHARA-I,Bokhara,PUBLIC,TW,Jalbhada,PHED,104,0.0165,,,,3.37,0,0,7.3,320 
2/7/2010,Murshidabad ,SAGARDIGHI,BOKHARA-I,Bokhara,PUBLIC,TW,Jalbhada,PHED,97,0.0001,,,,2.54,0,0,7.35,400 
2/7/2010,Murshidabad ,SAGARDIGHI,BOKHARA-I,Bokhara,PUBLIC,TW,Jalbhada,PHED,103,0.0264,,,,0.74,0,0,7.27,320 
2/7/2010,Murshidabad ,SAGARDIGHI,BOKHARA-I,Bokhara,PUBLIC,TW,Jalbhada,PHED,102,0.0071,,,,3.35,0,0,7.26,280 
2/7/2010,Murshidabad ,SAGARDIGHI,BOKHARA-I,Bokhara,PUBLIC,TW,Jalbhada,PHED,101,0.0065,,,,1.7,7,0,7.25,260 
2/7/2010,Murshidabad ,SAGARDIGHI,BOKHARA-I,Bokhara,PUBLIC,TW,Jalbhada,PHED,100,0.0013,,,,2.1,4,0,7.37,320 
29/6/2010,Murshidabad ,LALGOLA,PAIKAPARA,Paikpara ,PUBLIC,TW,Naresganj,West Bengal Voluntary Health Association (WBVHA),Hasibulsk,0.0292,,,,1.1,0,0,7.81,365 
29/6/2010,Murshidabad ,LALGOLA,PAIKAPARA,Paikpara ,PUBLIC,TW,Naresganj,West Bengal Voluntary Health Association (WBVHA),Karimmondal,0.0524,,,,4.78,0,0,7.82,330 
29/6/2010,Murshidabad ,LALGOLA,PAIKAPARA,Paikpara ,PUBLIC,TW,Naresganj,West Bengal Voluntary Health Association (WBVHA),Taslimsk,0.0602,,,,4.93,4,0,7.7,330 
29/6/2010,Murshidabad ,LALGOLA,PAIKAPARA,Paikpara ,PUBLIC,TW,Naresganj,West Bengal Voluntary Health Association (WBVHA),Rajjaksk,0.0682,,,,4.59,7,0,7.84,350 
29/6/2010,Murshidabad ,LALGOLA,PAIKAPARA,Paikpara ,PUBLIC,TW,Naresganj,West Bengal Voluntary Health Association (WBVHA),Humayunsk,0.0592,,,,3.78,11,0,7.83,370 
29/6/2010,Murshidabad ,LALGOLA,PAIKAPARA,Paikpara ,PUBLIC,TW,Naresganj,West Bengal Voluntary Health Association (WBVHA),Lutfursk,0.0842,,,,5.23,11,0,7.62,360 
29/6/2010,Murshidabad ,LALGOLA,PAIKAPARA,Paikpara ,PUBLIC,TW,Naresganj,West Bengal Voluntary Health Association (WBVHA),Majibursk,0.0184,,,,4.31,2,0,7.71,327 
29/6/2010,Murshidabad ,LALGOLA,PAIKAPARA,Paikpara ,PUBLIC,TW,Naresganj,West Bengal Voluntary Health Association (WBVHA),Anuyarhossain,0.0398,,,,5.11,23,0,7.79,335 
28/6/2010,Murshidabad ,LALGOLA,PAIKAPARA,Paikpara ,PUBLIC,TW,Naresganj,West Bengal Voluntary Health Association (WBVHA),Namajimondal,0.1311,,,,4.88,2,0,7.84,347 
28/6/2010,Murshidabad ,LALGOLA,PAIKAPARA,Paikpara ,PUBLIC,TW,Naresganj,West Bengal Voluntary Health Association (WBVHA),Nurbaktarmondal,0.0556,,,,4.68,0,0,7.84,335 
28/6/2010,Murshidabad ,LALGOLA,PAIKAPARA,Paikpara ,PUBLIC,TW,Naresganj,West Bengal Voluntary Health Association (WBVHA),Masjidbara,0.0258,,,,4.77,2,0,8.01,360 
